latency_s,cdf
14.7,0.42857142857142855
14.8,0.43131868131868134
14.92,0.4340659340659341
15.12,0.4368131868131868
15.19,0.43956043956043955
15.25,0.4423076923076923
15.27,0.44505494505494503
15.47,0.4478021978021978
15.51,0.45054945054945056
15.58,0.4532967032967033
15.59,0.45604395604395603
15.66,0.45879120879120877
15.72,0.46153846153846156
15.89,0.4642857142857143
15.91,0.46703296703296704
15.98,0.4697802197802198
16.16,0.4725274725274725
16.41,0.47527472527472525
16.41,0.47802197802197804
16.48,0.4807692307692308
16.57,0.4835164835164835
16.89,0.48626373626373626
16.89,0.489010989010989
17.15,0.49175824175824173
17.35,0.4945054945054945
17.62,0.49725274725274726
18.01,0.5
18.01,0.5027472527472527
18.58,0.5054945054945055
18.71,0.5082417582417582
18.77,0.510989010989011
18.81,0.5137362637362637
18.9,0.5164835164835165
19.09,0.5192307692307693
19.4,0.521978021978022
19.69,0.5247252747252747
20.04,0.5274725274725275
20.3,0.5302197802197802
20.59,0.532967032967033
20.67,0.5357142857142857
21.09,0.5384615384615384
21.17,0.5412087912087912
21.26,0.5439560439560439
21.69,0.5467032967032966
21.72,0.5494505494505495
21.87,0.5521978021978022
22.03,0.554945054945055
22.08,0.5576923076923077
22.39,0.5604395604395604
22.47,0.5631868131868132
22.52,0.5659340659340659
22.56,0.5686813186813187
22.72,0.5714285714285714
22.95,0.5741758241758241
23.3,0.5769230769230769
23.48,0.5796703296703297
23.5,0.5824175824175825
23.86,0.5851648351648352
23.98,0.5879120879120879
24.25,0.5906593406593407
24.41,0.5934065934065934
24.54,0.5961538461538461
25.09,0.5989010989010989
25.55,0.6016483516483516
25.56,0.6043956043956044
25.62,0.6071428571428571
25.79,0.6098901098901099
25.86,0.6126373626373627
26.01,0.6153846153846154
26.19,0.6181318681318682
27.76,0.6208791208791209
27.98,0.6236263736263736
28.88,0.6263736263736264
29.03,0.6291208791208791
29.12,0.6318681318681318
29.14,0.6346153846153846
29.49,0.6373626373626373
29.88,0.6401098901098901
30.12,0.6428571428571429
30.23,0.6456043956043956
30.34,0.6483516483516484
30.54,0.6510989010989011
30.97,0.6538461538461539
31.53,0.6565934065934066
32.07,0.6593406593406593
32.76,0.6620879120879121
33.16,0.6648351648351648
33.28,0.6675824175824175
33.67,0.6703296703296703
34.37,0.6730769230769231
34.67,0.6758241758241759
34.79,0.6785714285714286
34.86,0.6813186813186813
34.98,0.6840659340659341
36.47,0.6868131868131868
36.52,0.6895604395604396
36.65,0.6923076923076923
37.8,0.695054945054945
38.13,0.6978021978021978
39.07,0.7005494505494505
39.28,0.7032967032967034
39.88,0.7060439560439561
39.97,0.7087912087912088
41.12,0.7115384615384616
41.19,0.7142857142857143
43.16,0.717032967032967
43.21,0.7197802197802198
43.23,0.7225274725274725
43.31,0.7252747252747253
44.11,0.728021978021978
44.5,0.7307692307692307
44.94,0.7335164835164835
45.01,0.7362637362637363
45.02,0.739010989010989
45.67,0.7417582417582418
45.97,0.7445054945054945
46.93,0.7472527472527473
47.46,0.75
47.58,0.7527472527472527
48.08,0.7554945054945055
48.38,0.7582417582417582
48.39,0.760989010989011
48.67,0.7637362637362637
49.64,0.7664835164835165
50.58,0.7692307692307693
51.48,0.771978021978022
52.98,0.7747252747252747
53.73,0.7774725274725275
53.78,0.7802197802197802
54.51,0.782967032967033
55.57,0.7857142857142857
55.88,0.7884615384615384
56.07,0.7912087912087912
56.12,0.7939560439560439
56.73,0.7967032967032966
57.61,0.7994505494505495
57.86,0.8021978021978022
57.95,0.804945054945055
59.01,0.8076923076923077
59.02,0.8104395604395604
60.94,0.8131868131868132
61.65,0.8159340659340659
62.28,0.8186813186813187
62.89,0.8214285714285714
63.28,0.8241758241758241
66.28,0.8269230769230769
66.61,0.8296703296703297
66.95,0.8324175824175825
67.8,0.8351648351648352
68.47,0.8379120879120879
69.46,0.8406593406593407
69.51,0.8434065934065934
70.39,0.8461538461538461
71.22,0.8489010989010989
71.69,0.8516483516483516
71.76,0.8543956043956044
74.85,0.8571428571428571
75.07,0.8598901098901099
75.83,0.8626373626373627
76.23,0.8653846153846154
77.36,0.8681318681318682
77.36,0.8708791208791209
78.62,0.8736263736263736
79.2,0.8763736263736264
81.41,0.8791208791208791
81.7,0.8818681318681318
86.54,0.8846153846153846
88.83,0.8873626373626373
91.4,0.8901098901098901
92.36,0.8928571428571429
108.58,0.8956043956043956
161.12,0.8983516483516484
166.58,0.9010989010989011
171.01,0.9038461538461539
171.65,0.9065934065934066
175.63,0.9093406593406593
179.68,0.9120879120879121
179.73,0.9148351648351648
181.17,0.9175824175824175
181.54,0.9203296703296703
181.95,0.9230769230769231
182.11,0.9258241758241759
182.89,0.9285714285714286
184.6,0.9313186813186813
185.37,0.9340659340659341
190.3,0.9368131868131868
192.12,0.9395604395604396
192.36,0.9423076923076923
192.41,0.945054945054945
193.39,0.9478021978021978
194.44,0.9505494505494505
194.63,0.9532967032967034
195.83,0.9560439560439561
196.94,0.9587912087912088
196.97,0.9615384615384616
199.09,0.9642857142857143
199.25,0.967032967032967
200.61,0.9697802197802198
200.68,0.9725274725274725
201.25,0.9752747252747253
201.58,0.978021978021978
202.22,0.9807692307692307
211.47,0.9835164835164835
212.65,0.9862637362637363
221.03,0.989010989010989
224.04,0.9917582417582418
230.3,0.9945054945054945
260.97,0.9972527472527473
268.88,1.0
